benchmark,puzzle_index,algorithm,heuristic,found,cost,expanded,generated,max_frontier,max_closed,runtime_s
easy50.txt,0,astar,zero,True,49.0,50,49,1,49,0.00408647700533038
easy50.txt,0,astar,empty,True,49.0,50,49,1,49,0.003864381003950257
easy50.txt,0,sat,,True,,,,,,0.007513652999477927
easy50.txt,1,astar,zero,True,51.0,82,81,3,81,0.007084338001732249
easy50.txt,1,astar,empty,True,51.0,82,81,3,81,0.007275354000739753
easy50.txt,1,sat,,True,,,,,,0.006841570997494273
easy50.txt,2,astar,zero,True,53.0,162,161,9,161,0.01254172700282652
easy50.txt,2,astar,empty,True,53.0,162,161,9,161,0.012962311004230287
easy50.txt,2,sat,,True,,,,,,0.006728918000590056
easy50.txt,3,astar,zero,True,51.0,167,166,8,166,0.013652690999151673
easy50.txt,3,astar,empty,True,51.0,167,166,8,166,0.014092970006458927
easy50.txt,3,sat,,True,,,,,,0.00670566000189865
easy50.txt,4,astar,zero,True,45.0,46,45,1,45,0.0032468460049130954
easy50.txt,4,astar,empty,True,45.0,46,45,1,45,0.0033326109987683594
easy50.txt,4,sat,,True,,,,,,0.006768168001144659
easy50.txt,5,astar,zero,True,57.0,401,400,24,400,0.037955460997181945
easy50.txt,5,astar,empty,True,57.0,401,400,24,400,0.039072361003491096
easy50.txt,5,sat,,True,,,,,,0.006811259998357855
easy50.txt,6,astar,zero,True,55.0,110,109,4,109,0.009969129001547117
easy50.txt,6,astar,empty,True,55.0,110,109,4,109,0.010284042000421323
easy50.txt,6,sat,,True,,,,,,0.006719976998283528
easy50.txt,7,astar,zero,True,45.0,46,45,1,45,0.0031813349996809848
easy50.txt,7,astar,empty,True,45.0,46,45,1,45,0.0033014619984896854
easy50.txt,7,sat,,True,,,,,,0.006764186997315846
easy50.txt,8,astar,zero,True,55.0,941,940,70,940,0.08013142400159268
easy50.txt,8,astar,empty,True,55.0,941,940,70,940,0.08262566199846333
easy50.txt,8,sat,,True,,,,,,0.006900098000187427
easy50.txt,9,astar,zero,True,53.0,336,335,15,335,0.03071600599650992
easy50.txt,9,astar,empty,True,53.0,336,335,15,335,0.03168966100201942
easy50.txt,9,sat,,True,,,,,,0.006748193998646457
easy50.txt,10,astar,zero,True,53.0,417,416,14,416,0.03768901700095739
easy50.txt,10,astar,empty,True,53.0,417,416,14,416,0.03881185399950482
easy50.txt,10,sat,,True,,,,,,0.006748822001100052
easy50.txt,11,astar,zero,True,49.0,50,49,1,49,0.00362859799497528
easy50.txt,11,astar,empty,True,49.0,50,49,1,49,0.0037808519991813228
easy50.txt,11,sat,,True,,,,,,0.006693786999676377
easy50.txt,12,astar,zero,True,54.0,110,109,7,109,0.00835209499928169
easy50.txt,12,astar,empty,True,54.0,110,109,7,109,0.008652203003293835
easy50.txt,12,sat,,True,,,,,,0.006738067000696901
easy50.txt,13,astar,zero,True,54.0,1073,1072,61,1072,0.0977825230002054
easy50.txt,13,astar,empty,True,54.0,1073,1072,61,1072,0.10101288599980762
easy50.txt,13,sat,,True,,,,,,0.00675852999847848
easy50.txt,14,astar,zero,True,55.0,69,68,2,68,0.005267629996524192
easy50.txt,14,astar,empty,True,55.0,69,68,2,68,0.005431198005680926
easy50.txt,14,sat,,True,,,,,,0.006603691996133421
easy50.txt,15,astar,zero,True,45.0,46,45,1,45,0.0031723259962745942
easy50.txt,15,astar,empty,True,45.0,46,45,1,45,0.003290637003374286
easy50.txt,15,sat,,True,,,,,,0.0066736729932017624
easy50.txt,16,astar,zero,True,45.0,46,45,1,45,0.003173722005158197
easy50.txt,16,astar,empty,True,45.0,46,45,1,45,0.0032663320016581565
easy50.txt,16,sat,,True,,,,,,0.006656910001765937
easy50.txt,17,astar,zero,True,52.0,105,104,3,104,0.007806426001479849
easy50.txt,17,astar,empty,True,52.0,105,104,3,104,0.008095360004517715
easy50.txt,17,sat,,True,,,,,,0.006756365000910591
easy50.txt,18,astar,zero,True,49.0,50,49,1,49,0.0035965409988421015
easy50.txt,18,astar,empty,True,49.0,50,49,1,49,0.003715409999131225
easy50.txt,18,sat,,True,,,,,,0.006628903996897861
easy50.txt,19,astar,zero,True,49.0,50,49,1,49,0.0035518420045264065
easy50.txt,19,astar,empty,True,49.0,50,49,1,49,0.00364228699618252
easy50.txt,19,sat,,True,,,,,,0.006785208999644965
easy50.txt,20,astar,zero,True,51.0,76,75,2,75,0.006232066996744834
easy50.txt,20,astar,empty,True,51.0,76,75,2,75,0.006423710998205934
easy50.txt,20,sat,,True,,,,,,0.006728428998030722
easy50.txt,21,astar,zero,True,55.0,243,242,9,242,0.019462288997601718
easy50.txt,21,astar,empty,True,55.0,243,242,9,242,0.020053634005307686
easy50.txt,21,sat,,True,,,,,,0.0067261229996802285
easy50.txt,22,astar,zero,True,53.0,77,76,3,76,0.006071641997550614
easy50.txt,22,astar,empty,True,53.0,77,76,3,76,0.006247781006095465
easy50.txt,22,sat,,True,,,,,,0.006708453998726327
easy50.txt,23,astar,zero,True,55.0,104,103,8,103,0.008425148997048382
easy50.txt,23,astar,empty,True,55.0,104,103,8,103,0.00870109200332081
easy50.txt,23,sat,,True,,,,,,0.00669176100200275
easy50.txt,24,astar,zero,True,53.0,164,163,9,163,0.012837784001021646
easy50.txt,24,astar,empty,True,53.0,164,163,9,163,0.013309492002008483
easy50.txt,24,sat,,True,,,,,,0.006771241001843009
easy50.txt,25,astar,zero,True,57.0,421,420,15,420,0.03781794399401406
easy50.txt,25,astar,empty,True,57.0,421,420,15,420,0.03913151600136189
easy50.txt,25,sat,,True,,,,,,0.006735971001035068
easy50.txt,26,astar,zero,True,54.0,85,84,3,84,0.007504781999159604
easy50.txt,26,astar,empty,True,54.0,85,84,3,84,0.0077989529963815585
easy50.txt,26,sat,,True,,,,,,0.006746797000232618
easy50.txt,27,astar,zero,True,53.0,79,78,4,78,0.006105583997850772
easy50.txt,27,astar,empty,True,53.0,79,78,4,78,0.006268802993872669
easy50.txt,27,sat,,True,,,,,,0.006843736002338119
easy50.txt,28,astar,zero,True,54.0,637,636,34,636,0.05940584799827775
easy50.txt,28,astar,empty,True,54.0,637,636,34,636,0.061459388001821935
easy50.txt,28,sat,,True,,,,,,0.006709430999762844
easy50.txt,29,astar,zero,True,55.0,122,121,10,121,0.011241355001402553
easy50.txt,29,astar,empty,True,55.0,122,121,10,121,0.011644897000223864
easy50.txt,29,sat,,True,,,,,,0.0067154370044590905
easy50.txt,30,astar,zero,True,56.0,625,624,40,624,0.06017752399930032
easy50.txt,30,astar,empty,True,56.0,625,624,40,624,0.06187110200698953
easy50.txt,30,sat,,True,,,,,,0.006736600000294857
easy50.txt,31,astar,zero,True,55.0,284,283,14,283,0.024156312996638007
easy50.txt,31,astar,empty,True,55.0,284,283,14,283,0.024945587996626273
easy50.txt,31,sat,,True,,,,,,0.006681076003587805
easy50.txt,32,astar,zero,True,49.0,65,64,4,64,0.005165941998711787
easy50.txt,32,astar,empty,True,49.0,65,64,4,64,0.00532280500192428
easy50.txt,32,sat,,True,,,,,,0.00669197100069141
easy50.txt,33,astar,zero,True,50.0,51,50,1,50,0.003750679999939166
easy50.txt,33,astar,empty,True,50.0,51,50,1,50,0.003873879999446217
easy50.txt,33,sat,,True,,,,,,0.006732198999088723
easy50.txt,34,astar,zero,True,51.0,58,57,2,57,0.004558742999506649
easy50.txt,34,astar,empty,True,51.0,58,57,2,57,0.0047151170001598075
easy50.txt,34,sat,,True,,,,,,0.00667520899878582
easy50.txt,35,astar,zero,True,49.0,50,49,1,49,0.0036404709971975535
easy50.txt,35,astar,empty,True,49.0,50,49,1,49,0.0037517980017582886
easy50.txt,35,sat,,True,,,,,,0.006768655999621842
easy50.txt,36,astar,zero,True,49.0,104,103,6,103,0.009267433997592889
easy50.txt,36,astar,empty,True,49.0,104,103,6,103,0.0095770400002948
easy50.txt,36,sat,,True,,,,,,0.006682263003312983
easy50.txt,37,astar,zero,True,51.0,52,51,1,51,0.0039292639994528145
easy50.txt,37,astar,empty,True,51.0,52,51,1,51,0.0040832640006556176
easy50.txt,37,sat,,True,,,,,,0.0067078950014547445
easy50.txt,38,astar,zero,True,51.0,61,60,2,60,0.004870163997111376
easy50.txt,38,astar,empty,True,51.0,61,60,2,60,0.0050084489994333126
easy50.txt,38,sat,,True,,,,,,0.006767678998585325
easy50.txt,39,astar,zero,True,49.0,50,49,1,49,0.0036394930066308007
easy50.txt,39,astar,empty,True,49.0,50,49,1,49,0.0037592009975924157
easy50.txt,39,sat,,True,,,,,,0.006698536002659239
easy50.txt,40,astar,zero,True,55.0,941,940,70,940,0.0806074610009091
easy50.txt,40,astar,empty,True,55.0,941,940,70,940,0.0831086139951367
easy50.txt,40,sat,,True,,,,,,0.0067256339971208945
easy50.txt,41,astar,zero,True,55.0,313,312,18,312,0.026568977002170868
easy50.txt,41,astar,empty,True,55.0,313,312,18,312,0.02742927999497624
easy50.txt,41,sat,,True,,,,,,0.006821037000918295
easy50.txt,42,astar,zero,True,55.0,290,289,12,289,0.025036451996129472
easy50.txt,42,astar,empty,True,55.0,290,289,12,289,0.025881879002554342
easy50.txt,42,sat,,True,,,,,,0.0068169869991834275
easy50.txt,43,astar,zero,True,57.0,657,656,41,656,0.0648551350022899
easy50.txt,43,astar,empty,True,57.0,657,656,41,656,0.06698738599516219
easy50.txt,43,sat,,True,,,,,,0.0068069999979343265
easy50.txt,44,astar,zero,True,55.0,230,229,11,229,0.0196435960024246
easy50.txt,44,astar,empty,True,55.0,230,229,11,229,0.020349062004243024
easy50.txt,44,sat,,True,,,,,,0.00678143699769862
easy50.txt,45,astar,zero,True,57.0,700,699,36,699,0.06269180600065738
easy50.txt,45,astar,empty,True,57.0,700,699,36,699,0.06493740900623379
easy50.txt,45,sat,,True,,,,,,0.006732269997883122
easy50.txt,46,astar,zero,True,58.0,1206,1205,87,1205,0.11494843300170032
easy50.txt,46,astar,empty,True,58.0,1206,1205,87,1205,0.1186353480006801
easy50.txt,46,sat,,True,,,,,,0.0068297679972602054
easy50.txt,47,astar,zero,True,56.0,352,351,20,351,0.030784169997787103
easy50.txt,47,astar,empty,True,56.0,352,351,20,351,0.03178855599981034
easy50.txt,47,sat,,True,,,,,,0.006811677994846832
easy50.txt,48,astar,zero,True,59.0,707,706,69,706,0.06459448899840936
easy50.txt,48,astar,empty,True,59.0,707,706,69,706,0.06649975600157632
easy50.txt,48,sat,,True,,,,,,0.006740859003912192
easy50.txt,49,astar,zero,True,56.0,165,164,6,164,0.013496106999809854
easy50.txt,49,astar,empty,True,56.0,165,164,6,164,0.013920741999754682
easy50.txt,49,sat,,True,,,,,,0.006743163998180535
top95.txt,0,astar,zero,True,64.0,2694,2693,143,2693,0.2725485870032571
top95.txt,0,astar,empty,True,64.0,2694,2693,143,2693,0.2789343039985397
top95.txt,0,sat,,True,,,,,,0.006892065997817554
